dev,seq,hint,threads,time,workGB,tlb,readGB,CPUwork
./test_file,1,0,20,1.00041,18.4305,94811964162945,5.17993,4743
./test_file,1,0,20,2.00082,2.69226,18446649261745388670,5.38503,4735
./test_file,1,0,20,3.00125,2.77527,0,5.55017,4756
./test_file,1,0,20,4.00165,2.84387,0,5.68799,4758
./test_file,1,0,20,5.00218,1.88524,36,3.77576,4666
./test_file,1,0,20,6.00258,1.13189,57452,2.25861,4458
./test_file,1,0,20,7.00298,2.77316,155524,5.54797,4685
./test_file,1,0,20,8.00338,2.86462,151936,5.72991,4682
./test_file,1,0,20,9.0038,2.64856,134335,5.29736,4702
./test_file,1,0,20,10.0042,2.79663,144713,5.59314,4651
./test_file,1,0,20,11.0046,2.19458,171179,4.39108,4631
./test_file,1,0,20,12.0051,2.65637,144940,5.31787,4675
./test_file,1,0,20,13.0055,2.59375,140496,5.1875,4651
./test_file,1,0,20,14.0059,2.63623,136863,5.27258,4664
./test_file,1,0,20,15.0064,2.62732,135498,5.25488,4679
./test_file,1,0,20,16.0069,2.17541,205410,4.35533,4591
./test_file,1,0,20,17.0073,2.59705,189169,5.20032,4535
./test_file,1,0,20,18.0078,2.71631,143970,5.47356,4645
./test_file,1,0,20,19.0082,2.72998,148477,5.47363,4670
./test_file,1,0,20,20.0086,2.65515,136716,5.31047,4646
./test_file,1,0,20,21.009,2.65259,173248,5.30518,4633
./test_file,1,0,20,22.0094,2.17204,247865,4.3438,4640
./test_file,1,0,20,23.0099,2.67793,163353,5.35683,4689
./test_file,1,0,20,24.0103,2.6792,148153,5.3584,4686
./test_file,1,0,20,25.0107,2.71642,144646,5.43328,4646
./test_file,1,0,20,26.0111,2.64552,135658,5.29114,4683
./test_file,1,0,20,27.0116,2.75989,195118,5.52078,4636
./test_file,1,0,20,28.012,2.1073,349002,4.21891,4653
./test_file,1,0,20,29.0124,2.57434,237837,5.17049,4662
./test_file,1,0,20,30.0128,2.57715,164275,5.15442,4682
./test_file,1,0,20,31.0132,2.62854,133721,5.25684,4697
./test_file,1,0,20,32.0136,2.63904,123206,5.27808,4693
./test_file,1,0,20,33.0142,2.52203,145935,5.04956,4652
./test_file,1,0,20,34.0146,2.21283,319794,4.42065,4688
./test_file,1,0,20,35.0151,15.4145,263888,4.80469,4680
./test_file,1,0,20,36.0155,2.68431,192793,5.36965,4694
./test_file,1,0,20,37.0159,2.67744,144706,5.35474,4712
./test_file,1,0,20,38.0164,2.9176,162987,5.83521,4688
./test_file,1,0,20,39.0169,2.71533,251767,5.43396,4604
./test_file,1,0,20,40.0173,2.30151,346913,4.59741,4624
./test_file,1,0,20,41.0178,2.75554,203716,5.51187,4628
./test_file,1,0,20,42.0182,2.79073,165825,5.58788,4629
./test_file,1,0,20,43.0186,2.66089,145120,5.32203,4686
./test_file,1,0,20,44.0191,2.91675,191272,5.83186,4615
./test_file,1,0,20,45.0196,2.45008,256008,4.90807,4564
./test_file,1,0,20,46.0201,2.47998,184032,4.95738,4617
./test_file,1,0,20,47.0205,2.61768,184410,5.23511,4625
./test_file,1,0,20,48.0209,2.60583,148203,5.21228,4688
./test_file,1,0,20,49.0213,2.5769,135426,5.1542,4684
./test_file,1,0,20,50.0217,2.73218,177007,5.46241,4659
./test_file,1,0,20,51.0222,2.29794,281073,4.59601,4590
./test_file,1,0,20,52.0226,2.79777,213993,5.59566,4651
./test_file,1,0,20,53.023,2.64575,175242,5.292,4573
./test_file,1,0,20,54.0234,2.6947,151204,5.38905,4686
./test_file,1,0,20,55.0238,2.6886,146611,5.37598,4671
./test_file,1,0,20,56.0242,2.7489,178590,5.50103,4642
./test_file,1,0,20,57.0246,2.24347,262980,4.48694,4648
